species1,species2,nAinv,nXinv,AMb,XMb,enrichX,study
D. erecta,D. melanogaster,17,3,103.2,21.3,0.88,von Grotthus et al. 2010
D. yakuba,D. melanogaster,29,6,116.4,21.8,1.09,von Grotthus et al. 2010
D. ananassae,D. melanogaster,348,159,99,31.5,1.3,von Grotthus et al. 2010
D. pseudoob-scura,D. melanogaster,592,198,108.7,20.3,1.59,von Grotthus et al. 2010
D. willistoni,D. melanogaster,1243,381,125.2,27.9,1.29,von Grotthus et al. 2010
D. virilis,D. melanogaster,997,298,118.2,30.5,1.12,von Grotthus et al. 2010
D. mojavensis,D. melanogaster,1017,300,122.7,32,1.1,von Grotthus et al. 2010
D. grimshawi,D. melanogaster,1025,330,109,26.4,1.25,von Grotthus et al. 2010
A. stephensi,A. gambiae,99,31,84.87,7.97,2.78,Neafsey et al. 2015
A. funestus,A. gambiae,120,25,72.15,6.81,2,Neafsey et al. 2015
A. atroparvus,A. gambiae,166,29,84.79,4.03,3.28,Neafsey et al. 2015
A. albimanus,A. gambiae,460,129,119.06,9.93,2.84,Neafsey et al. 2015
H. sapiens,P. troglodytes,1384,185,"2,882",156.04,2.3,Feuk et al. 2005
Passerine birds (81 clades),Passerine birds (81 clades),319,56,194.15,22.28,1.45,Hooper & Price 2017
